sensor_id,n_rows,n_valid_quaternion,first_timestamp,last_timestamp,availability_pct
1a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
2a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
3a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
4a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
5a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
6a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
7a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
8a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
9a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
10a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
11a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
12a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
13a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
14a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
15a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
16a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
17a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
18a,107,107,2026-05-01 00:16:19,2026-05-29 12:20:37,100.0
